"state","Population","num.dem.house","num.repub.house","dem.votes","repub.votes"
"AK",721523,0,1,82927,185296
"AL",4802982,1,6,693498,1233624
"AR",2926229,0,4,304770,637591
"AZ",6412700,5,4,946994,1131663
"CA",37341989,38,15,6945307,4348665
"CO",5044930,3,4,1080454,1143796
"CT",3581628,5,0,937666,492135
"DC",601723,0,0,246664,0
"DE",900877,1,0,249933,129757
"FL",18900773,10,17,3392402,3826522
"GA",9727566,5,9,1448869,2104098
"HI",1366862,2,0,285008,137531
"IA",3053787,2,2,772387,726505
"ID",1573499,0,2,208297,406814
"IL",12864380,12,6,2743702,2180539
"IN",6501582,2,7,1142554,1351760
"KS",2863813,0,4,195505,740981
"KY",4350606,1,5,684744,1027582
"LA",4553962,1,5,287274,1005403
"MA",6559644,9,0,2080594,697637
"MD",5789929,7,1,1626872,858406
"ME",1333074,2,0,427819,265982
"MI",9911626,5,9,2327985,2086804
"MN",5314879,5,3,1560984,1210409
"MO",6011478,2,6,1119554,1463586
"MS",2978240,1,3,411398,703635
"MT",994416,0,1,204939,255468
"NC",9565781,4,9,2218357,1725727
"ND",675905,0,1,131869,173433
"NE",1831825,0,3,276239,496276
"NH",1321445,2,0,340925,311636
"NJ",8807501,6,6,1778168,1429130
"NM",2067273,2,1,422189,323269
"NV",2709432,2,2,453310,457239
"NY",19421055,21,6,3507587,1734252
"OH",11568495,4,12,2412451,2620251
"OK",3764882,0,5,410324,856872
"OR",3848606,4,1,949660,687839
"PA",12734905,5,13,2793538,2710070
"RI",1055247,2,0,232679,161926
"SC",4645975,1,6,714191,1026129
"SD",819761,0,1,153789,207640
"TN",6375431,2,7,831279,1369562
"TX",25268418,12,24,2949900,4429270
"UT",2770765,1,3,324309,647873
"VA",8037736,3,8,1806025,1876761
"VT",630337,1,0,208600,67543
"WA",6753369,6,4,1636726,1369540
"WI",5698230,3,5,1445015,1401995
"WV",1859815,1,2,257101,384253
"WY",568300,0,1,57573,166452
