(0 0),(33 36),(29 30),(0 0),(44 56),(97 66),(50 25),(163 88),(15 26),(18 18),(24 17),(0 0),(32 17),(19 10),(20 19),(39 40),(27 13),(5 17),(11 0),(19 9),(60 30),(40 34),(38 37),(3 19),(25 28),(20 73),(45 40),(71 42),(32 48),(50 16),(34 10),(0 0),(0 8),(0 0),(0 0),(0 0)
(97 6),(52 5),(39 12),(48 0),(36 33),(68 83),(9 8),(35 44),(0 0),(27 10),(41 40),(32 30),(14 5),(18 32),(29 10),(0 0),(26 148),(5 76),(0 0),(0 0),(2 36),(0 0),(245 404),(42 38),(9 74),(14 10),(12 27),(5 7),(31 33),(18 32),(15 29),(27 23),(17 16),(16 32),(7 36),(10 23)
(58 2),(0 0),(7 0),(0 0),(8 1),(0 0),(22 0),(26 2),(59 3),(50 13),(29 3),(128 18),(30 6),(17 5),(87 81),(46 62),(25 13),(9 18),(35 10),(70 30),(52 16),(55 38),(0 41),(58 29),(169 380),(2 13),(3 70),(18 9),(34 30),(20 30),(0 0),(28 18),(45 23),(29 25),(19 16),(13 6)
(9 0),(4 0),(0 0),(6 3),(25 0),(10 4),(33 1),(23 1),(95 4),(9 0),(24 0),(13 0),(15 0),(15 0),(16 0),(5 0),(9 1),(9 0),(16 1),(7 0),(21 0),(6 2),(107 14),(56 2),(11 3),(28 2),(34 19),(22 16),(45 23),(56 61),(24 19),(4 2),(5 6),(4 32),(14 29),(11 14)
(13 2),(4 0),(0 0),(9 0),(9 2),(2 1),(22 1),(10 0),(9 3),(4 0),(15 0),(7 0),(5 0),(11 0),(8 0),(6 0),(18 0),(5 1),(14 2),(10 0),(20 0),(18 0),(18 1),(15 0),(20 0),(15 8),(36 0),(19 3),(0 2),(11 24),(50 29),(0 0),(24 18),(0 0),(0 0),(0 0)
(24 5),(196 31),(9 0),(11 0),(12 0),(15 0),(10 0),(19 8),(15 0),(18 0),(16 0),(16 0),(17 0),(16 3),(13 0),(14 0),(8 1),(18 0),(6 4),(0 0),(6 1),(18 3),(11 0),(12 1),(77 29),(96 33),(138 107),(3 10),(76 42),(26 23),(49 34),(39 14),(15 17),(13 27),(82 90),(38 63)
(242 86),(273 25),(90 2),(102 3),(21 0),(22 0),(33 5),(34 3),(15 2),(15 0),(19 0),(17 4),(19 0),(55 4),(155 7),(46 6),(90 36),(36 11),(57 13),(33 4),(52 18),(33 29),(35 8),(57 22),(5 6),(28 6),(41 23),(9 6),(21 20),(22 13),(30 35),(29 17),(16 22),(0 0),(12 13),(29 25)
(78 82),(15 16),(0 0),(32 2),(20 7),(21 1),(24 1),(43 6),(18 1),(25 0),(25 2),(44 14),(258 12),(61 72),(37 15),(15 11),(92 3),(66 4),(37 4),(7 0),(62 1),(17 3),(58 28),(43 16),(85 18),(30 22),(50 45),(214 118),(8 14),(4 26),(78 75),(0 0),(20 24),(11 32),(20 15),(23 27)
(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(26 119),(0 0),(2 21),(0 0),(6 34),(4 23),(3 31),(41 26),(0 0),(93 24),(61 18),(0 0),(80 9),(157 115),(42 54),(0 0),(0 0),(16 40),(0 0),(113 200),(0 0),(5 35),(7 17),(0 12),(0 0),(0 0)
(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(18 11),(30 23),(4 4),(25 22),(0 0),(0 0),(0 0),(6 1),(17 1),(13 136),(0 0),(0 2),(0 0),(11 14),(0 0),(0 0),(0 0),(9 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 3),(0 0),(0 0),(0 0),(0 0)
(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(28 32),(23 14),(23 15),(18 21),(34 21),(27 24),(11 29),(33 15),(19 6),(5 2),(40 52),(11 18),(121 39),(24 9),(9 3),(17 17),(187 207),(0 0),(65 111),(0 0),(0 0),(0 2),(0 0)
(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(8 109),(37 126),(0 36),(3 67),(5 82),(0 14),(1 23),(2 23),(21 216),(4 24),(30 16),(21 17),(31 29),(38 11),(0 7),(23 18),(44 21),(25 23),(27 22),(19 10),(40 12),(24 4),(8 29),(17 20),(10 21),(2 10)
(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(2 184),(0 17),(0 29),(1 67),(1 40),(4 20),(4 53),(2 31),(12 22),(9 34),(5 16),(19 69),(33 20),(6 41),(49 33),(11 3),(192 63),(13 4),(17 3),(85 50),(0 11),(0 1)
(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 0),(0 22),(0 0),(2 52),(5 57),(0 0),(0 17),(0 0),(0 39),(10 59),(7 25),(10 28),(18 22),(7 33),(13 33),(13 13),(77 59),(47 16),(106 64),(64 32),(15 15),(13 10),(21 7),(15 24),(64 20),(17 32),(30 13)
(5 22),(4 14),(3 26),(0 27),(1 27),(7 24),(3 26),(5 49),(1 17),(3 24),(0 0),(0 46),(0 0),(7 24),(2 36),(1 48),(2 66),(20 221),(4 24),(5 75),(4 36),(4 42),(0 56),(1 47),(4 27),(5 43),(3 36),(1 30),(30 14),(104 431),(19 22),(10 25),(14 18),(27 41),(20 16),(2 20)
(0 30),(2 38),(7 12),(3 32),(0 0),(0 38),(0 0),(0 14),(13 232),(0 7),(0 0),(10 51),(0 1),(0 0),(0 0),(3 28),(0 7),(4 43),(0 1),(0 86),(0 34),(12 30),(22 12),(32 15),(13 2),(30 3),(16 3),(9 8),(29 5),(37 0),(26 8),(54 20),(51 13),(68 50),(0 0),(20 47)
